Lot Area,Year Built,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,SalePrice
31770,1960,1656,1,0,3,7,2,2,215000
11622,1961,896,1,0,2,5,0,1,105000
14267,1958,1329,1,1,3,6,0,1,172000
11160,1968,2110,2,1,3,8,2,2,244000
13830,1997,1629,2,1,3,6,1,2,189900
9978,1998,1604,2,1,3,7,1,2,195500
4920,2001,1338,2,0,2,6,0,2,213500
5005,1992,1280,2,0,2,5,0,2,191500
5389,1995,1616,2,0,2,5,1,2,236500
7500,1999,1804,2,1,3,7,1,2,189000
10000,1993,1655,2,1,3,7,1,2,175900
7980,1992,1187,2,0,3,6,0,2,185000
8402,1998,1465,2,1,3,7,1,2,180400
10176,1990,1341,1,1,2,5,1,2,171500
6820,1985,1502,1,1,1,4,0,2,212000
53504,2003,3279,3,1,4,12,1,3,538000
12134,1988,1752,2,0,4,8,0,2,164000
11394,2010,1856,1,1,1,8,1,3,394432
19138,1951,864,1,0,2,4,0,2,141000
13175,1978,2073,2,0,3,7,2,2,210000
11751,1977,1844,2,0,3,7,1,2,190000
10625,1974,1173,2,0,3,6,2,2,170000
7500,2000,1674,2,1,3,7,0,2,216000
11241,1970,1004,1,0,2,5,1,2,149000
12537,1971,1078,1,1,3,6,1,2,149900
8450,1968,1056,1,0,3,6,1,1,142000
8400,1970,882,1,0,2,4,0,2,126000
10500,1971,864,1,0,3,5,1,0,115000
5858,1999,1337,2,0,2,5,1,2,184000
1680,1971,987,1,1,2,5,0,1,96000
1680,1971,1092,1,1,3,6,0,1,105500
1680,1971,1092,1,1,3,6,0,1,88000
4043,1977,1069,2,0,2,4,1,2,127500
2280,1975,1456,2,1,3,6,1,2,149900
2280,1975,836,1,0,2,4,0,1,120000
2280,1978,1456,2,1,3,7,1,2,146000
12858,2009,2334,2,1,3,10,1,3,376162
11478,2007,1704,2,0,3,7,1,3,306000
10159,2009,1940,2,1,3,8,1,3,395192
12883,2009,1544,2,0,3,7,0,3,290941
12182,2005,1541,2,0,3,7,1,2,220000
11520,2005,1698,2,0,3,7,1,3,275000
14122,2005,1822,2,0,3,8,1,3,259000
10171,2004,1535,2,0,3,7,0,2,214000
12919,2009,2364,2,1,2,11,2,3,611657
6371,2009,1358,2,0,2,6,1,2,224000
14300,2003,2696,2,1,3,10,2,3,500000
13650,2002,2250,2,1,3,7,1,3,320000
7658,2005,1752,2,0,2,6,1,2,319900
7132,2006,1370,2,0,2,6,1,2,205000
2628,2003,1626,2,1,2,6,0,2,175500
18494,2005,1324,2,0,3,6,0,2,199500
3203,2006,1145,2,0,2,6,0,2,160000
3182,2004,1269,2,0,2,6,1,2,192000
13300,2004,1374,2,1,3,7,1,2,184500
7851,2002,1960,2,1,4,8,2,2,216500
8577,2004,1733,2,1,3,7,1,2,185088
7750,2000,1430,2,1,3,7,1,2,180000
9505,2001,2035,2,1,3,8,1,2,222500
