Store Number,City,State/Province,Country,Longitude,Latitude
47370-257954,Andorra la Vella,7,AD,1.53,42.51
22331-212325,Ajman,AJ,AE,55.47,25.42
47089-256771,Ajman,AJ,AE,55.47,25.39
22126-218024,Abu Dhabi,AZ,AE,54.38,24.48
17127-178586,Abu Dhabi,AZ,AE,54.54,24.51
17688-182164,Abu Dhabi,AZ,AE,54.49,24.4
18182-182165,Abu Dhabi,AZ,AE,54.49,24.4
23359-229184,Abu Dhabi,AZ,AE,54.61,24.46
30781-99022,Abu Dhabi,AZ,AE,55.69,24.19
20423-205465,Abu Dhabi,AZ,AE,54.38,24.48
20424-205466,Abu Dhabi,AZ,AE,54.34,24.47
1579-122101,Abu Dhabi,AZ,AE,54.37,24.49
32595-122105,Abu Dhabi,AZ,AE,55.69,24.19
24191-236428,Abu Dhabi,AZ,AE,54.7,24.3
24604-238367,Abu Dhabi,AZ,AE,54.6,24.48
32029-110804,Abu Dhabi,AZ,AE,55.74,24.21
29560-238539,Abu Dhabi,AZ,AE,54.34,24.47
32239-100001,Abu Dhabi,AZ,AE,54.35,24.47
31719-103601,Abu Dhabi,AZ,AE,54.37,24.47
20008-200004,Abu Dhabi,AZ,AE,54.38,24.48
32767-131566,Abu Dhabi,AZ,AE,54.51,24.42
3886-141408,Abu Dhabi,AZ,AE,54.35,24.46
29539-254261,Abu Dhabi,AZ,AE,54.66,24.41
28809-251348,Abu Dhabi,AZ,AE,54.41,24.5
34262-62540,Abu Dhabi,AZ,AE,54.32,24.47
3178-141407,Abu Dhabi,AZ,AE,54.57,24.35
34260-17877,Abu Dhabi,AZ,AE,55.62,24.21
21605-213406,Abu Dhabi,AZ,AE,54.44,24.54
1935-141406,Abu Dhabi,AZ,AE,54.34,24.47
20113-195784,Abu Dhabi,AZ,AE,54.94,24.9
34227-33225,Abu Dhabi,AZ,AE,54.37,24.5
17361-180588,Abu Dhabi,AZ,AE,54.6,24.4
15938-165686,Abu Dhabi,AZ,AE,55.77,24.48
16453-170544,Abu Dhabi,AZ,AE,54.44,24.43
24085-235545,Abu Dhabi,AZ,AE,54.61,24.46
24932-239347,Abu Dhabi,AZ,AE,54.39,24.46
18469-188844,Abu Dhabi,AZ,AE,54.39,24.43
28810-251346,Abu Dhabi,AZ,AE,54.66,24.41
1897-120044,Abu Dhabi,AZ,AE,55.53,23.85
20772-207664,Abu Dhabi,AZ,AE,54.37,24.47
2176-143834,Abu Dhabi,AZ,AE,54.37,24.52
18530-169885,Abu Dhabi,AZ,AE,54.37,24.48
24931-239348,Abu Dhabi,AZ,AE,54.37,24.47
29306-253248,Al Ain,AZ,AE,55.4,24.12
17291-169884,Al Ain,AZ,AE,55.29,25.24
32640-131563,Al Ain,AZ,AE,55.65,24.19
34332-97778,Al Ain,AZ,AE,55.73,24.24
16257-166109,Al Ain,AZ,AE,55.39,25.1
1926-141411,Al Ain,AZ,AE,55.81,24.16
24510-238164,Al Ain,AZ,AE,55.69,24.21
17788-183965,Al Ain,AZ,AE,55.8,24.13
22963-226644,Abu Dhabi,DU,AE,54.47,24.41
