magnitude,state,country,longitude,latitude,year
2.68,CA,US,-115.5458333,32.98,2017
5,,Indonesia,127.5786,2.8327,2017
2.09,CA,US,-115.5416667,32.9695,2017
2.18,CA,US,-115.5491667,32.9705,2017
2.35,CA,US,-115.5538333,32.9661667,2017
2.65,CA,US,-115.5505,32.973,2017
4.1,,Papua New Guinea,153.8988,-5.9497,2017
4.1,,Indonesia,139.4328,-2.9302,2017
2.07,CA,US,-115.556,32.9865,2017
2.1,CA,US,-115.5495,32.9753333,2017
3.11,CA,US,-115.546,32.9788333,2017
2.39,CA,US,-115.5555,32.9686667,2017
2.53,CA,US,-115.5451667,32.9656667,2017
3.7,AK,US,-161.3375,54.1142,2017
2.08,CA,US,-115.5476667,32.9635,2017
2.94,CA,US,-115.5536667,32.9731667,2017
2.02,CA,US,-115.551,32.9691667,2017
2.28,CA,US,-115.5543333,32.9701667,2017
2.13,CA,US,-115.5336667,32.9746667,2017
2.12,CA,US,-115.5535,32.9741667,2017
2.6,OK,US,-97.7694,35.2542,2017
2.1,CA,US,-115.5481667,32.9726667,2017
2.3,CA,US,-115.552,32.973,2017
4.1,,Peru,-76.5974,-12.9415,2017
2.35,CA,US,-115.548,32.9751667,2017
3.13,CA,US,-115.5455,32.9776667,2017
2.33,CA,US,-115.5471667,32.964,2017
2.5,CA,US,-115.5421667,32.9771667,2017
4.1,,Chile,-71.3277,-29.6335,2017
2.31,CA,US,-115.5485,32.9775,2017
4.1,,Tonga,-172.1121,-17.9985,2017
2.77,CA,US,-115.5471667,32.9793333,2017
3.9,,Chile,-74.4059,-43.2793,2017
2.08,CA,US,-115.5445,32.9673333,2017
3.2,,Puerto Rico,-65.6244,17.9654,2017
2.07,CA,US,-115.5458333,32.9746667,2017
2.21,CA,US,-115.5445,32.9665,2017
4,,Chile,-69.149,-19.6932,2017
2.7,AK,US,-179.8464,51.3156,2017
2.8,,Puerto Rico,-66.7455,18.6438,2017
4.7,,Colombia,-79.0252,2.5444,2017
3,OK,US,-97.5017,36.2856,2017
2.7,,Puerto Rico,-67.1658,17.8726,2017
2.1,NV,US,-118.927,38.4079,2017
2.31,CA,US,-115.556,32.9701667,2017
2.07,CA,US,-115.5581667,32.9658333,2017
2.44,CA,US,-124.698,40.4225,2017
4.3,AK,US,-171.0213,53.4375,2017
4.4,,Colombia,-78.5497,2.3138,2017
4,,Philippines,126.0402,10.1451,2017
2.4,AK,US,-153.5972,58.821,2017
4.3,,Chile,-71.7813,-29.995,2017
2.44,CA,US,-115.5415,32.9763333,2017
2.32,CA,US,-115.5473333,32.9805,2017
2.11,CA,US,-115.5345,32.9733333,2017
2.07,HI,US,-156.4015,19.2706667,2017
3,NV,US,-118.9152,38.389,2017
4.3,,Philippines,120.8538,13.3222,2017
4.2,,Mexico,-99.0388,16.2647,2017
4.1,,Indonesia,120.3871,-7.1986,2017
2.5,AK,US,-166.3157,52.637,2017
2.61,CA,US,-115.5466667,32.9735,2017
4.5,,Papua New Guinea,154.7478,-7.4382,2017
4.1,,Fiji region,-178.5311,-20.9276,2017
3.9,,Chile,-71.8472,-29.992,2017
2.41,CA,US,-115.5431667,32.9835,2017
4.4,,New Zealand,174.4661,-41.6172,2017
2.11,CA,US,-115.5411667,32.9758333,2017
2.11,KS,US,-97.8375,37.0971667,2017
2.1,AK,US,-148.2082,61.729,2017
2.01,KS,US,-97.8778333,37.2276667,2017
4.9,,Greece,27.0381,34.9934,2017
2.7,AK,US,-153.6626,58.8472,2017
4.1,,Indonesia,103.7629,-5.7514,2017
3.4,AK,US,-154.7502,58.803,2017
5.2,,Indonesia,128.5907,3.6359,2017
5.3,,Indonesia,128.2355,3.5887,2017
4.7,,Indonesia,128.7229,3.5208,2017
4.2,,east of the North Island of New Zealand,-179.2061,-36.6727,2017
2.4,AK,US,-152.1291,59.1723,2017
4.5,,Indonesia,128.6563,3.6245,2017
4.3,,Chile,-71.6717,-28.7905,2017
2.2,AK,US,-146.8251,63.515,2017
2.4,AK,US,-146.8006,63.5159,2017
2.5,AK,US,-145.9085,60.6894,2017
4.6,,Myanmar,98.4506,21.1208,2017
4.2,,Chile,-74.4927,-43.4535,2017
2.03,OK,US,-98.0545,37.0666667,2017
2.09,WA,US,-122.5376667,48.8378333,2017
4.4,,Chile,-71.3262,-32.0786,2017
2.6,AK,US,-157.6167,57.1185,2017
3.1,,Puerto Rico,-65.7697,19.1865,2017
3.3,WY,US,-105.2231,43.5737,2017
2.6,OK,US,-97.9431,35.4361,2017
2.35,HI,US,-155.473,19.169,2017
2.4,,Puerto Rico,-66.6635,18.5722,2017
3.2,AK,US,-178.1368,50.376,2017
4.7,,Solomon Islands,161.4198,-10.3123,2017
4.4,,Indonesia,128.7148,3.7216,2017
3.3,,Puerto Rico,-67.5438,18.8556,2017
4.2,,Afghanistan,71.474,36.5673,2017
2.4,AK,US,-157.8489,57.0127,2017
2.32,WY,US,-109.8446667,41.61,2017
4.6,,southeast of the Loyalty Islands,171.4833,-22.3853,2017
4.6,,Indonesia,94.5977,3.9731,2017
2.1,NV,US,-118.9168,38.405,2017
2.56,CA,US,-115.5628333,32.9668333,2017
2.3,AK,US,-151.2363,62.2687,2017
2.6,NV,US,-118.9238,38.3842,2017
5.7,,Southwest Indian Ridge,51.9288,-36.0365,2017
5,,South Indian Ocean,52.3287,-37.1568,2017
4.2,,Iran,50.8205,29.4667,2017
4,,Iran,50.82,29.2487,2017
4.1,,Iran,50.8187,29.451,2017
4.4,,Iran,50.8166,29.3758,2017
4.3,,Argentina,-68.4816,-28.0774,2017
2.9,AK,US,-170.1578,53.0573,2017
3.8,NV,US,-118.4766,38.7012,2017
2.23,,B.C.,-115.2096667,32.4166667,2017
4.3,,Fiji region,-178.5562,-20.693,2017
5.1,,Solomon Islands,162.0523,-10.7398,2017
4.3,,Italy,12.7351,42.7941,2017
2.91,CA,US,-118.8445,37.5741667,2017
4.4,,Indonesia,130.6049,-6.7751,2017
4,,Indonesia,130.0116,-2.9652,2017
2.4,AK,US,-179.714,51.3425,2017
2.3,AK,US,-137.6647,58.024,2017
2.5,NV,US,-118.9012,38.3594,2017
2.9,,off the coast of Southeastern Alaska,-140.7233,56.7559,2017
4.3,,New Zealand,174.4581,-41.6205,2017
4.9,,Kermadec Islands region,-172.8231,-27.5113,2017
4.5,,Iran,50.7974,29.6533,2017
4.2,,Pakistan,73.8226,34.8833,2017
4.5,,Russia,108.6036,53.4138,2017
2.7,AK,US,-179.8045,51.0097,2017
4.2,,Chile,-70.616,-33.9245,2017
4.2,,south of the Fiji Islands,179.9853,-23.4818,2017
4.6,,China,86.2733,43.8508,2017
2.2,AK,US,-153.0435,59.4196,2017
4.4,,New Zealand,173.6237,-42.4461,2017
5.3,,south of the Fiji Islands,179.2614,-23.2769,2017
4.9,,Solomon Islands,155.2866,-9.4856,2017
2.9,,Puerto Rico,-65.6039,17.8715,2017
4.1,,Chile,-70.2777,-21.3066,2017
2.5,AK,US,-167.6907,53.5063,2017
2.1,CA,US,-118.2055,34.029,2017
3.2,AK,US,-150.4513,63.9977,2017
4.1,,Fiji region,-177.6455,-19.5018,2017
4.4,,New Zealand,177.5692,-38.9294,2017
4.7,,Vanuatu,169.761,-20.6508,2017
3.6,CA,US,-118.9285,38.3889,2017
5.9,,Peru,-76.3675,-4.895,2017
6.3,,south of the Fiji Islands,179.2383,-23.2513,2017
2.6,AK,US,-150.3234,60.7627,2017
2.2,AK,US,-152.8615,59.5704,2017
4.4,,Greece,21.9099,36.2225,2017
2.13,CA,US,-115.5541667,32.9685,2017
3.2,,Puerto Rico,-67.7945,18.1963,2017
4.2,,Argentina,-67.4347,-24.2806,2017
4.5,,Indonesia,98.9469,1.9044,2017
2.15,CA,US,-115.5548333,32.9741667,2017
