Country,Birthrate,GDP,Population,Region
Burundi,5.6951,853.4425,10727153,Africa
Central African Republic,6.035,872.60364,4819341,Africa
Democratic Republic of Congo,6.437,944.79175,78656904,Africa
Malawi,4.4521,1124.0508,16938944,Africa
Niger,7.2111,1191.8284,20128132,Africa
Liberia,4.5232,1210.1753,4612330,Africa
Mozambique,5.062,1343.997,26843252,Africa
Madagascar,4.1829,1643.5133,24850912,Africa
Guinea-Bissau,4.6712,1665.3973,1788931,Africa
Burkina Faso,5.4777,1716.6113,18718022,Africa
Ethiopia,4.5309,1758.5656,102471896,Africa
Sierra Leone,4.5481,1836.8203,7314779,Africa
Haiti,3.1082,1913.0902,10563762,North America
Togo,4.5938,1937.6711,7473232,Africa
Chad,6.7065,1942.6559,14140277,Africa
Uganda,5.306,1986.3871,37477356,Africa
Mali,6.3847,1987.0233,18112910,Africa
Rwanda,4.0805,2016.8105,11642963,Africa
Guinea,5.0217,2086.2366,11626003,Africa
Gambia,5.3136,2270.7078,2253137,Africa
Tanzania,5.0876,2468.433,52542824,Africa
Yemen,4.3224,2533.9111,28516552,Asia
Nepal,2.2498,2829.85,27610328,Asia
Zimbabwe,3.849,2880.9058,14154937,Africa
Comoros,4.4179,2988.6812,730221,Africa
Senegal,4.7813,3069.6384,14356191,Africa
Benin,5.3193,3072.4944,10932791,Africa
Zambia,4.7935,3277.0535,16248231,Africa
Tajikistan,3.4589,3297.6838,8524066,Asia
Cameroon,4.8324,3367.5437,23012650,Africa
Lesotho,3.2637,3382.4414,2118532,Africa
Cambodia,2.5497,3481.1858,15417527,Asia
Kenya,3.8,3538.2283,46851496,Africa
Bangladesh,2.1142,3714.8008,157830000,Asia
Sudan,4.8981,4144.497,38171172,Africa
Sao Tome and Principe,4.3869,4367.9287,201142,Africa
Mauritania,4.8129,4392.759,3946225,Africa
Cote d'Ivoire,4.8132,4541.9023,23596738,Africa
Pakistan,3.9041,4649.5283,210969296,Asia
Congo,4.5644,4702.7046,5064390,Africa
Djibouti,3.0661,4751.606,1006266,Africa
Myanmar,2.2475,4774.1333,51483956,Asia
Kyrgyzstan,3.1741,4853.494,5914985,Asia
Honduras,2.5811,4976.4863,9294510,North America
Nicaragua,2.4797,5300.7627,6298610,North America
Ghana,4.0501,5354.642,28870946,Africa
Nigeria,5.6163,5576.2925,183995776,Africa
India,2.2867,5634.441,1322866560,Asia
Syria,3.0489,5714.92,19205178,Asia
Vietnam,1.9513,6180.358,92191400,Asia
Palestine,4.0461,6230.2207,4484615,Asia
Cape Verde,2.1174,6515.8477,552169,Africa
Belize,2.4377,6594.8223,359884,North America
Laos,2.7663,6627.723,6787420,Asia
Philippines,2.9507,7088.7803,103031360,Asia
Bolivia,2.886,7336.2764,11090090,South America
Moldova,1.8676,7468.925,3277390,Europe
El Salvador,2.0669,7584.579,6231072,North America
Morocco,2.5313,7604.1436,34680456,Africa
Guatemala,3.0288,7737.959,16001105,North America
Angola,5.7744,8058.727,28127724,Africa
Jamaica,1.5883,8088.889,2794455,North America
Eswatini,3.1169,8732.5625,1133941,Africa
Bhutan,1.9571,9778.855,743284,Asia
Dominica,1.6942,10134.615,70027,North America
Indonesia,2.3447,10247.408,259091968,Asia
Ukraine,1.5169,10390.095,44982568,Europe
Jordan,3.1747,10457.684,9494250,Asia
Uzbekistan,2.4949,10492.51,30949416,Asia
Iraq,4.0897,10494.439,37757812,Asia
Saint Vincent and the Grenadines,2.099,10784.738,106493,North America
Mongolia,3.0097,10785.082,2964756,Asia
Tunisia,2.2507,10798.313,11557779,Africa
Namibia,3.6041,11041.704,2282709,Africa
Guyana,2.5338,11144.114,755043,South America
Armenia,1.6018,11156.541,2878598,Asia
Ecuador,2.2599,11354.9,16195904,South America
Albania,1.613,11644.792,2882482,Europe
Peru,2.338,11662.247,30711864,South America
Paraguay,2.6454,11727.364,6177954,South America
