ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt
36,M,BLACK,48 or older,10,FALSE,2,Standard,Less than HS diploma,0,Drug,Less than 1 year,10,6,1,5,4,4,FALSE,FALSE,3,4,FALSE,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4,1,1,2,27.72727273,0,0.227272734,0,0,0.654098361,0.598770492,TRUE
67,M,BLACK,28-32,20,FALSE,7,High,Less than HS diploma,3,Drug,1-2 years,4,5,0,2,1,2,TRUE,FALSE,2,4,TRUE,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,3,89.77777778,0,0,0,0,1,1.808168317,FALSE
93,M,WHITE,33-37,16,FALSE,4,Standard,High School Diploma,2,Other,Less than 1 year,6,2,1,1,0,2,FALSE,TRUE,1,1,FALSE,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,10,0,0,34.2,0.06666667,0,0,0,0.651072125,1.423976608,FALSE
125,M,WHITE,48 or older,1,FALSE,6,High,High School Diploma,2,Property,Greater than 2 to 3 years,10,6,3,5,0,5,FALSE,FALSE,3,4,TRUE,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,1,,0,0,0,0,0,0,FALSE
151,M,BLACK,33-37,4,TRUE,5,Standard,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,6,5,2,2,2,5,FALSE,FALSE,3,1,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,4,0,0,,0.25,0,0,0,0,0,FALSE
174,M,WHITE,38-42,16,FALSE,4,Standard,High School Diploma,0,Violent/Non-Sex,1-2 years,4,6,3,0,1,4,TRUE,FALSE,3,4,TRUE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,32.83333333,0,0,0,0,0,0,FALSE
198,F,WHITE,38-42,17,,4,Standard,High School Diploma,0,Drug,More than 3 years,6,6,0,3,4,5,FALSE,FALSE,0,4,FALSE,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,10,0,3,37.78571429,0,0,0,0,0.224952741,0.460302457,FALSE
216,M,WHITE,43-47,14,FALSE,7,High,At least some college,1,Property,Greater than 2 to 3 years,10,3,1,4,2,5,FALSE,FALSE,3,3,TRUE,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,61.8,0,0,0,0,0.996763754,0.295509709,FALSE
233,M,BLACK,33-37,5,FALSE,9,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,5,1,2,0,3,2,FALSE,TRUE,1,1,TRUE,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,10,3,0,40.82926829,0.048780486,0.048780486,0,0,0.654719235,0.218189964,TRUE
273,M,BLACK,28-32,5,TRUE,9,Specialized,High School Diploma,2,Drug,Greater than 2 to 3 years,7,6,0,1,5,5,FALSE,TRUE,3,3,FALSE,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,6,1,2,189.5,0.300000012,0,0,0,0.014775726,0.192744063,FALSE
