month,year,hour
10,1949,20
10,1949,21
10,1955,17
10,1956,21
10,1960,20
10,1961,19
10,1965,21
10,1965,23
10,1966,20
10,1966,21
10,1968,13
10,1968,19
10,1970,16
10,1970,19
10,1971,21
10,1972,19
10,1972,22
10,1973,19
10,1973,23
10,1974,19
10,1974,21
10,1974,23
10,1975,17
10,1976,20
10,1976,22
10,1977,12
10,1977,22
10,1978,02
10,1979,00
10,1979,22
10,1979,22
10,1979,22
10,1980,19
10,1980,22
10,1980,23
10,1982,07
10,1984,05
10,1984,12
10,1984,22
10,1985,20
10,1986,20
10,1988,18
10,1988,21
10,1988,22
10,1988,22
10,1989,00
10,1989,21
10,1989,21
10,1990,21
10,1991,22
10,1991,22
10,1992,17
10,1992,18
10,1992,20
10,1992,22
10,1993,03
10,1993,22
10,1993,23
10,1994,15
10,1994,18
10,1994,22
10,1994,23
10,1995,19
10,1995,22
10,1996,03
10,1996,20
10,1996,22
10,1996,22
10,1997,16
10,1997,17
10,1997,20
10,1997,21
10,1998,02
10,1998,03
10,1998,13
10,1998,17
10,1998,17
10,1998,20
10,1998,20
10,1998,20
10,1998,22
10,1998,23
10,1999,00
10,1999,04
10,1999,06
10,1999,11
10,1999,12
10,1999,20
10,1999,21
10,1999,21
10,1999,22
10,1999,22
10,1999,23
10,2000,03
10,2000,06
10,2000,07
10,2000,16
10,2000,20
10,2000,20
10,2000,21
10,2000,21
10,2000,22
10,2001,03
10,2001,04
10,2001,20
10,2001,20
10,2001,21
10,2001,21
10,2001,22
10,2001,23
10,2002,00
10,2002,02
10,2002,04
10,2002,06
10,2002,19
10,2002,20
10,2002,21
10,2003,09
10,2003,12
10,2003,18
10,2003,19
10,2003,20
10,2003,20
10,2003,21
10,2003,22
10,2003,23
10,2003,23
10,2004,02
10,2004,03
10,2004,03
10,2004,04
10,2004,08
10,2004,09
10,2004,14
10,2004,15
10,2004,15
10,2004,15
10,2004,19
10,2004,19
10,2004,21
10,2004,21
10,2004,22
10,2004,23
10,2005,07
10,2005,09
10,2005,09
10,2005,14
10,2005,20
10,2005,20
10,2005,21
10,2005,21
10,2005,22
10,2005,23
10,2005,23
10,2006,01
10,2006,05
10,2006,12
10,2006,16
10,2006,16
10,2006,19
10,2006,20
10,2006,21
10,2006,22
10,2006,22
10,2006,23
10,2007,01
10,2007,01
10,2007,04
10,2007,04
10,2007,06
10,2007,13
10,2007,18
10,2007,19
10,2007,20
10,2007,20
10,2007,20
10,2007,20
10,2007,21
10,2007,21
10,2007,22
10,2007,22
10,2007,22
10,2007,22
10,2007,23
10,2007,23
10,2008,02
10,2008,02
10,2008,02
10,2008,04
10,2008,04
10,2008,06
10,2008,10
10,2008,18
10,2008,19
10,2008,20
10,2008,20
10,2008,20
10,2008,20
10,2008,20
10,2008,21
10,2008,22
10,2008,22
10,2008,23
10,2009,12
10,2009,12
10,2009,16
10,2009,19
10,2009,20
10,2009,20
10,2009,21
10,2009,23
10,2009,23
10,2010,01
10,2010,02
10,2010,03
10,2010,08
10,2010,12
10,2010,13
10,2010,15
10,2010,16
10,2010,17
10,2010,18
10,2010,20
10,2010,20
10,2010,20
10,2010,21
10,2010,21
